location,decade,pop_estimate,error
Antwerpen,1600,65176.166666666664,0.06484157041045156
Ieper,1600,6322.833333333336,0.08567493476026064
Duinkerken,1600,9903.958333333334,0.09244620206567244
Brugge,1600,27985.124999999996,0.06828925485711887
Gent,1600,34375.91666666667,0.07718460841044252
Brussel,1600,50652.87499999999,0.14486920370594294
Leuven,1600,8985.750000000002,0.06861790427436058
Amsterdam,1600,56752.54166666667,0.04607796567114109
Den Haag,1600,15193.75,0.08179075826134642
Rotterdam,1600,15447.916666666668,0.08024814565070822
Haarlem,1600,35298.75,0.08094125146074578
Utrecht,1600,29102.291666666668,0.07826560050396943
Hoorn,1600,13112.541666666668,0.08144874023279239
Dordrecht,1600,16350.708333333332,0.08254739218739231
Deventer,1600,7205.5,0.2330800545879306
Leiden,1600,23762.583333333336,0.046368415330824815
Delft,1600,17344.208333333336,0.08028616661181345
Groningen,1600,18122.916666666664,0.06794114266007574
Zwolle,1600,11046.458333333332,0.17556909265790313
Heerenveen,1600,1019.9583333333333,0.16687773193349406
Woerden,1600,1881.2916666666667,0.08422847777457872
Dokkum,1600,2126.6666666666665,0.15207680250783692
Gouda,1600,13885.125,0.08362966363884604
Gorinchem,1600,5675.166666666666,0.08360253737041493
Leeuwarden,1600,9263.374999999998,0.06998888993842206
Steenwijk,1600,1058.0416666666665,0.15744496514787534
Vlissingen,1600,5581.041666666667,0.17804322669752515
Middelburg,1600,19425.291666666664,0.0842780138436358
Veere,1600,1143.875,0.28040651294940444
Zaandam,1600,4765.5,0.06590773965655923
Alkmaar,1600,12750.375,0.0727691015623724
Enkhuizen,1600,15717.166666666668,0.07832200460218657
Antwerpen,1610,56696.28571428571,0.0754101637631423
Ieper,1610,6510.857142857141,0.0869975425662627
Duinkerken,1610,10246.904761904761,0.09071264260984731
Brugge,1610,28139.190476190477,0.06771440610705602
Gent,1610,34936.42857142858,0.0763481970654183
Brussel,1610,54177.2380952381,0.1510500807754444
Leuven,1610,8914.42857142857,0.07093369230193967
Amsterdam,1610,78808.28571428572,0.043181947269262215
Den Haag,1610,16403.90476190476,0.06968433764318592
Rotterdam,1610,17331.952380952385,0.0685521648702784
Haarlem,1610,38108.19047619047,0.06950386868464715
Utrecht,1610,29044.28571428572,0.0964307379535355
Hoorn,1610,14052.47619047619,0.06973182153967086
Dordrecht,1610,17240.619047619046,0.07031843404142471
Deventer,1610,7224.238095238095,0.22239287056140375
Leiden,1610,31439.190476190473,0.04953932231988261
Delft,1610,18722.71428571429,0.06955137253705117
Groningen,1610,19122.428571428576,0.06771903349594488
Zwolle,1610,11325.47619047619,0.1626673954632416
Heerenveen,1610,1046.3333333333333,0.1560551586037408
Woerden,1610,1896.1428571428569,0.0714985308521056
Dokkum,1610,2258.4285714285716,0.15010437092795254
Gouda,1610,14269.95238095238,0.07104171602668263
Gorinchem,1610,5820.190476190476,0.07109896583322425
Leeuwarden,1610,10630.428571428572,0.06955325906315668
Steenwijk,1610,1111.666666666667,0.15596487470550457
Vlissingen,1610,5758.809523809524,0.18920907925745237
Middelburg,1610,22088.904761904763,0.08229729642332816
Veere,1610,1174.4285714285716,0.26931030288286106
Zaandam,1610,5538.476190476191,0.064217422705231
Alkmaar,1610,13234.142857142857,0.06878312589730023
Enkhuizen,1610,18092.85714285714,0.0674272930648768
Antwerpen,1620,56663.333333333336,0.08038806204286525
Ieper,1620,6658.055555555557,0.08782176978597374
Duinkerken,1620,10422.666666666666,0.09015607010362026
Brugge,1620,28295.833333333332,0.06793108525990285
Gent,1620,35380.944444444445,0.07630755412910586
Brussel,1620,56085.05555555557,0.15342768077453797
Leuven,1620,8955.888888888889,0.07353944642258975
Amsterdam,1620,92036.0,0.04311477151452811
Den Haag,1620,17065.222222222223,0.0638302720933412
Rotterdam,1620,18352.27777777777,0.06307119007328754
Haarlem,1620,39633.77777777778,0.06383584148201325
Utrecht,1620,29011.944444444445,0.10550252290723178
Hoorn,1620,14548.88888888889,0.06393004429509712
Dordrecht,1620,17705.833333333336,0.06423495081658599
Deventer,1620,7232.944444444445,0.2159255873971718
Leiden,1620,35401.44444444444,0.050688452762442035
Delft,1620,19462.05555555555,0.06373941316008037
Groningen,1620,19618.999999999996,0.06790752728364208
Zwolle,1620,11475.77777777778,0.15561762940299395
Heerenveen,1620,1060.388888888889,0.14994498873578876
Woerden,1620,1905.8333333333333,0.06494680075790704
Dokkum,1620,2329.222222222222,0.1478318942899394
Gouda,1620,14475.666666666666,0.06465639655820873
Gorinchem,1620,5896.888888888889,0.06475165812481153
Leeuwarden,1620,11409.611111111113,0.06977061249531348
Steenwijk,1620,1140.5,0.1538311656680793
Vlissingen,1620,5854.555555555555,0.19426467518171966
Middelburg,1620,23470.222222222226,0.08137971519466762
Veere,1620,1190.8888888888887,0.26334204142563894
Zaandam,1620,5974.444444444444,0.06235819230053935
Alkmaar,1620,13505.111111111111,0.06469978444374966
Enkhuizen,1620,19355.055555555555,0.06237819002213025
Antwerpen,1630,59661.52631578947,0.07415252181384635
Ieper,1630,7544.315789473683,0.08285778069233003
Duinkerken,1630,10742.78947368421,0.08589849740094943
Brugge,1630,29420.157894736836,0.06498229820942664
Gent,1630,37986.94736842105,0.07210925636506714
Brussel,1630,60838.89473684213,0.14529659437046458
Leuven,1630,9802.421052631576,0.09389194935730148
Amsterdam,1630,127555.31578947368,0.04415421833499686
Den Haag,1630,18801.947368421053,0.06724387451467788
Rotterdam,1630,20374.421052631584,0.06686144133252753
Haarlem,1630,40914.894736842114,0.06552240015539337
Utrecht,1630,28722.789473684206,0.12314630048027157
Hoorn,1630,14819.157894736842,0.06523561250728077
Dordrecht,1630,18327.89473684211,0.06594779312523355
Deventer,1630,7240.263157894738,0.1982190237342349
Leiden,1630,43038.210526315794,0.0499311505320855
Delft,1630,20619.684210526317,0.06611464773057935
Groningen,1630,20250.73684210526,0.06508665051823972
Zwolle,1630,11836.368421052633,0.135985877602928
Heerenveen,1630,1090.4736842105262,0.13021863989574767
Woerden,1630,1968.6842105263156,0.06680925010025379
Dokkum,1630,2506.2631578947367,0.12910812910812902
Gouda,1630,14939.105263157895,0.06623027518733943
Gorinchem,1630,6020.263157894738,0.06599641561393538
Leeuwarden,1630,14212.578947368422,0.0735782609178673
Steenwijk,1630,1209.9473684210525,0.13567358301796492
Vlissingen,1630,6086.315789473685,0.19252853683846438
Middelburg,1630,25729.157894736843,0.0762006652292916
Veere,1630,1229.8947368421052,0.24683327627524812
Zaandam,1630,6801.578947368421,0.06701230364466447
Alkmaar,1630,13383.78947368421,0.06514164818397751
Enkhuizen,1630,20175.105263157893,0.0645036744085338
Antwerpen,1640,60731.722222222226,0.07334259690386963
Ieper,1640,7957.333333333335,0.08308897453083124
Duinkerken,1640,10880.055555555557,0.08612598996124415
Brugge,1640,29928.944444444434,0.06586526235286863
Gent,1640,39185.944444444445,0.07259122105857115
Brussel,1640,62885.72222222222,0.14153804564364092
Leuven,1640,10200.833333333332,0.10214851727800017
Amsterdam,1640,142153.55555555556,0.04561381979737105
Den Haag,1640,19510.72222222222,0.07270076567585332
Rotterdam,1640,21140.222222222226,0.07233183715087642
Haarlem,1640,40926.61111111111,0.07037393491602172
Utrecht,1640,28538.44444444444,0.13252299043006277
Hoorn,1640,14761.555555555557,0.06985864181733334
Dordrecht,1640,18497.94444444444,0.07087874628712491
Deventer,1640,7238.166666666667,0.192429022082019
Leiden,1640,46453.27777777778,0.052481645237329275
Delft,1640,20963.0,0.07115976826896067
Groningen,1640,20437.11111111111,0.0659530048821859
Zwolle,1640,11987.66666666667,0.1293968801267972
Heerenveen,1640,1102.6666666666667,0.12348851269649351
Woerden,1640,1999.3333333333337,0.07207958208291662
Dokkum,1640,2584.6111111111113,0.12258452808288378
Gouda,1640,15105.777777777777,0.07130090031775915
Gorinchem,1640,6060.777777777778,0.0709663226208591
Leeuwarden,1640,15608.555555555555,0.07625091652014206
Steenwijk,1640,1239.6666666666667,0.12920139822532944
Vlissingen,1640,6180.111111111111,0.1918789665773718
Middelburg,1640,26583.611111111113,0.07644643211669694
Veere,1640,1244.9444444444446,0.24155473247355985
Zaandam,1640,7097.333333333333,0.07275815642807938
Alkmaar,1640,13142.222222222223,0.06981315522489023
Enkhuizen,1640,20156.777777777777,0.06882989454884203
Antwerpen,1650,62734.15,0.07795435181635522
Ieper,1650,9020.2,0.08730405090796212
Duinkerken,1650,11279.35,0.08970375065939076
Brugge,1650,31116.249999999993,0.07142248824970847
Gent,1650,42228.3,0.07763869253557472
Brussel,1650,68053.19999999998,0.12878086555812174
Leuven,1650,11222.800000000001,0.10850678974943848
Amsterdam,1650,172644.94999999998,0.05000812360859669
Den Haag,1650,21159.949999999997,0.09768926675157545
Rotterdam,1650,22407.5,0.09899364052214679
Haarlem,1650,39965.95,0.09334195734118651
Utrecht,1650,28029.35,0.1502924612950352
Hoorn,1650,14118.049999999997,0.09652537000506432
Dordrecht,1650,18430.8,0.0973370662152482
Deventer,1650,7223.150000000001,0.17994226895468043
Leiden,1650,50000.950000000004,0.057073915595603826
Delft,1650,21053.050000000007,0.0975915603677376
Groningen,1650,20465.750000000004,0.07096001856760684
Zwolle,1650,12367.349999999999,0.11371878373297416
Heerenveen,1650,1131.75,0.10726750607466311
Woerden,1650,2100.45,0.09914542121926276
Dokkum,1650,2781.85,0.10624224886316651
Gouda,1650,14942.050000000001,0.09694452903048785
Gorinchem,1650,6113.7,0.0976740762549683
Leeuwarden,1650,18736.100000000002,0.07050560148590174
Steenwijk,1650,1313.1999999999998,0.1133490709716722
Vlissingen,1650,6339.9,0.18195081941355545
Middelburg,1650,27935.2,0.0806885220080758
Veere,1650,1260.55,0.23049462536194515
Zaandam,1650,7764.35,0.09570021959339817
Alkmaar,1650,12573.699999999999,0.09370750057660038
Enkhuizen,1650,18376.25,0.09483980681586303
Antwerpen,1660,63756.86956521739,0.08286984249949544
Ieper,1660,9877.913043478262,0.09151290538399272
Duinkerken,1660,11622.347826086956,0.09382598741554866
Brugge,1660,31931.739130434777,0.07723813025067058
Gent,1660,44520.04347826088,0.08288303949076228
Brussel,1660,72058.91304347826,0.11775509773102315
Leuven,1660,12023.73913043478,0.10583049474590116
Amsterdam,1660,187175.04347826086,0.05276297982869315
Den Haag,1660,22396.913043478256,0.11325900890844806
Rotterdam,1660,23221.0,0.11694062533351553
Haarlem,1660,39711.78260869565,0.10273700391188231
Utrecht,1660,27616.13043478261,0.15701441029266144
Hoorn,1660,13692.695652173912,0.11546302058857137
Dordrecht,1660,18227.695652173912,0.11589148858521554
Deventer,1660,7200.999999999999,0.169783182287484
Leiden,1660,51721.95652173913,0.06370013575934867
Delft,1660,20957.65217391305,0.11594602780762901
Groningen,1660,20231.043478260868,0.07639787326407554
Zwolle,1660,12663.130434782608,0.1007237718539271
Heerenveen,1660,1153.3913043478262,0.09371230398069973
Woerden,1660,2177.260869565217,0.11725942049244178
Dokkum,1660,2933.7391304347825,0.09275890687059096
Gouda,1660,14454.826086956522,0.11511425400272522
Gorinchem,1660,6134.043478260869,0.11625780568884973
Leeuwarden,1660,19211.52173913044,0.0697747049438178
Steenwijk,1660,1369.7826086956522,0.10049198539914317
Vlissingen,1660,6382.478260869565,0.1720607369360409
Middelburg,1660,28334.47826086956,0.08525793586857583
Veere,1660,1248.1304347826087,0.2217229247221932
Zaandam,1660,8417.260869565218,0.10345201630190559
Alkmaar,1660,12467.521739130436,0.10356299672540477
Enkhuizen,1660,16973.08695652174,0.11430884187498888
Antwerpen,1670,64144.38461538462,0.08223994665879986
Ieper,1670,10288.576923076924,0.09043636893791868
Duinkerken,1670,11803.76923076923,0.09319708828340367
Brugge,1670,32316.923076923085,0.07720532228887014
Gent,1670,45672.26923076923,0.08244524745279708
Brussel,1670,73961.6153846154,0.11143462149285345
Leuven,1670,12404.576923076922,0.10073204989473485
Amsterdam,1670,190929.8076923077,0.05416650299395166
Den Haag,1670,22956.961538461535,0.1155724507900232
Rotterdam,1670,23644.923076923074,0.11964025453504404
Haarlem,1670,39698.307692307695,0.10176174919295153
Utrecht,1670,27479.153846153855,0.15606095809690715
Hoorn,1670,13532.384615384613,0.11867827035999101
Dordrecht,1670,18171.576923076922,0.11895585032415365
Deventer,1670,7201.038461538462,0.16490677092513378
Leiden,1670,52302.153846153844,0.06516057582567551
Delft,1670,20935.884615384613,0.11893638636643376
Groningen,1670,20057.153846153848,0.07656197865330988
Zwolle,1670,12819.961538461535,0.09361002523108458
Heerenveen,1670,1161.923076923077,0.08718967229394246
Woerden,1670,2223.3076923076924,0.12000484378784222
Dokkum,1670,2986.576923076923,0.08637364618614043
Gouda,1670,14468.423076923078,0.11826816488958723
Gorinchem,1670,6151.807692307692,0.11921448979974614
Leeuwarden,1670,18520.384615384613,0.06807883205615407
Steenwijk,1670,1397.0,0.09327680193821931
Vlissingen,1670,6410.923076923077,0.1671906121763337
Middelburg,1670,28476.03846153846,0.08500669253637004
Veere,1670,1245.923076923077,0.21741680558128046
Zaandam,1670,8753.0,0.10156078355552818
Alkmaar,1670,12432.923076923076,0.10281015665602483
Enkhuizen,1670,16422.846153846156,0.11787519262565763
Antwerpen,1680,65116.299999999996,0.0778734868739982
Ieper,1680,11455.63333333333,0.08481998667322287
Duinkerken,1680,12359.633333333333,0.08907491861948448
Brugge,1680,33308.03333333333,0.07493087253225185
Gent,1680,49049.466666666674,0.07865393031796503
Brussel,1680,79285.26666666665,0.09172237969391528
Leuven,1680,13508.533333333331,0.08128442268590716
Amsterdam,1680,198540.83333333334,0.05501806933082605
Den Haag,1680,24694.7,0.1154674214845021
Rotterdam,1680,25148.06666666667,0.1196407411040214
Haarlem,1680,40065.0,0.0917242813760972
Utrecht,1680,27318.766666666666,0.14748713643734546
Hoorn,1680,13265.0,0.12025380072873472
Dordrecht,1680,18246.899999999998,0.1200404817621988
Deventer,1680,7241.966666666666,0.14870270046350204
Leiden,1680,54335.6,0.06485864393387279
Delft,1680,21025.666666666668,0.12003107313283783
Groningen,1680,19589.199999999997,0.07550078614746884
Zwolle,1680,13109.333333333332,0.07852420667209097
Heerenveen,1680,1177.6,0.0771342844202898
Woerden,1680,2396.2999999999997,0.1196149619552365
Dokkum,1680,3074.0333333333333,0.07665282310970382
Gouda,1680,15339.433333333334,0.11886575557984544
Gorinchem,1680,6254.866666666667,0.12005052066124505
Leeuwarden,1680,17099.433333333334,0.06661429326118014
Steenwijk,1680,1467.3,0.0781707898861854
Vlissingen,1680,6522.866666666667,0.15101233608944947
Middelburg,1680,28858.833333333336,0.0823687721263853
Veere,1680,1248.5,0.2026698705112802
Zaandam,1680,9848.6,0.08972172017681022
Alkmaar,1680,12438.566666666666,0.09351291815509286
Enkhuizen,1680,15130.033333333335,0.12066948519611105
Antwerpen,1690,64348.10526315789,0.07729136096920204
Ieper,1690,11950.789473684214,0.08484574901459996
Duinkerken,1690,12705.263157894737,0.08882352941176468
Brugge,1690,33313.894736842114,0.07565596147648232
Gent,1690,50238.42105263159,0.07912480487779351
Brussel,1690,80691.5,0.0881286980921819
Leuven,1690,13965.078947368418,0.07809894228649279
Amsterdam,1690,199624.07894736843,0.05610703803135233
Den Haag,1690,25995.05263157895,0.11039043866646683
Rotterdam,1690,26296.57894736842,0.1135699060314028
Haarlem,1690,40602.0,0.0829716710869829
Utrecht,1690,27431.052631578954,0.13893301866881577
Hoorn,1690,13477.842105263157,0.1144197688994412
Dordrecht,1690,18437.026315789477,0.11437367882421978
Deventer,1690,7300.815789473685,0.13929229249795452
Leiden,1690,54898.97368421052,0.06817690485058432
Delft,1690,21253.36842105263,0.11435091403467929
Groningen,1690,19585.947368421053,0.076177065726501
Zwolle,1690,13047.736842105265,0.07869079937234556
Heerenveen,1690,1181.7631578947369,0.07266127775179824
Woerden,1690,2530.184210526315,0.11344087699044178
Dokkum,1690,3078.5526315789475,0.07244518528016414
Gouda,1690,16106.894736842107,0.11284477716309789
Gorinchem,1690,6351.5,0.11432442398604556
Leeuwarden,1690,16381.236842105265,0.06610097881562212
Steenwijk,1690,1498.2368421052631,0.0787241143098028
Vlissingen,1690,6640.473684210527,0.1415522037901545
Middelburg,1690,28958.263157894737,0.08265979894839544
Veere,1690,1264.3157894736842,0.1943843143784864
Zaandam,1690,10605.131578947368,0.08082730554969657
Alkmaar,1690,12572.947368421053,0.08420543690295779
Enkhuizen,1690,14828.473684210527,0.11527608690250976
Antwerpen,1700,62776.8717948718,0.07702657111185006
Ieper,1700,12416.48717948718,0.08598782016466963
Duinkerken,1700,13089.128205128205,0.08960460433007614
Brugge,1700,33126.333333333336,0.07720173043833008
Gent,1700,51140.61538461538,0.08057322094336178
Brussel,1700,81460.99999999999,0.08635278986735453
Leuven,1700,14379.538461538461,0.0772607800970753
Amsterdam,1700,200227.74358974362,0.05744305010627657
Den Haag,1700,27533.615384615383,0.1027964883950712
Rotterdam,1700,27610.30769230769,0.10506574096259114
Haarlem,1700,40819.64102564102,0.07675540809288654
Utrecht,1700,27520.538461538457,0.1279091326664188
Hoorn,1700,13592.48717948718,0.10599935484722904
Dordrecht,1700,18622.794871794875,0.10601564941779368
Deventer,1700,7368.5641025641025,0.1283832218641909
Leiden,1700,54992.84615384616,0.07325614846872867
